Timestamp,What is your current marital status?,Wife: How old were you at marriage? (in years),Husband: How old were you at marriage? (in years),Our Family Backgrounds:,Have you been married before?,Was buying a home or moving out a significant factor for marriage?,How did you meet?,How long was your relationship before marriage?,Did you attend Premarital Counselling?,Did you live together before marriage?,What were your views on marriage prior to the wedding?,"Do you believe in ""Soulmates"" or ""The One""?",Our views on religion:,Do you have children together?,What were your views on children?,On political views:,Relationship with In-laws is best described as: (Select Neutral if Not Applicable) [You and your in-laws],Relationship with In-laws is best described as: (Select Neutral if Not Applicable) [Your spouse/ex and their in-laws],Our household is primarily:,On managing household finances:,What best describes your personalities?,Do you share a key common interest?,Do you approve of each other's social circle?,How do you feel about pets & pet ownership?,Which top 3 values do you prioritise most in your life? [Me],Which top 3 values do you prioritise most in your life? [My spouse/ex],"Thank you for reaching the end! 

If there are there any other factors you feel are important for a relationship that were not mentioned, feel free to add them here. Otherwise, press submit!"
2/14/2026 20:05:29,Married or Widowed,32,32,Both our parents are Divorced,No,No,only my wife and I know how we met.  Not something we have shared.,1–2 years,Yes,No,Both wanted marriage,No - we don't,Same beliefs and practices,Yes,Both wanted children,We share the same views,Neutral,Good,Dual income,"Half aligned, half in disagreement",Mixed - One of each,No,Somewhat,We are both indifferent or do not want pets,"Family, Faith and Spirituality","Career Ambition, Faith and Spirituality, Self-Improvement",
2/14/2026 20:13:29,Married or Widowed,28,29,Both our parents are Married,No,No,Online (e.g. Dating App),4+ years,Yes,No,Both wanted marriage,Half - one of us does,Same beliefs and practices,Yes,Both wanted children,We have different views but respect them,Neutral,Neutral,Dual income,Mostly aligned,Both Introverts,No,Somewhat,We are both indifferent or do not want pets,"Faith and Spirituality, Security/Stability, Travel","Career Ambition, Faith and Spirituality, Security/Stability, Health and Fitness",
2/14/2026 20:41:47,Married or Widowed,33,38,Both our parents are Married,No,No,Mutual friends,4+ years,Yes,No,Both wanted marriage,Half - one of us does,Same beliefs and practices,No,Both ambivalent or undecided,Our different views cause conflict,Very Good,Good,Dual income,"Half aligned, half in disagreement",Mixed - One of each,Yes,Yes,We are both indifferent or do not want pets,"Family, Faith and Spirituality, Community","Career Ambition, Family, Travel",
2/14/2026 21:08:16,Married or Widowed,28,33,Both our parents are Married,No,No,On a plane,1–2 years,Yes,Yes,Both wanted marriage,Half - one of us does,Different beliefs altogether,Yes,Both wanted children,We have different views but respect them,Good,Good,Dual income,"Half aligned, half in disagreement",Both Extroverts,Yes,Yes,We are both indifferent or do not want pets,"Career Ambition, Family, Health and Fitness","Career Ambition, Family, Security/Stability",
2/14/2026 21:44:14,Married or Widowed,22,25,Both our parents are Married,No,Yes,School,2–4 years,No,No,Both wanted marriage,Yes - we both do,Same beliefs but different practices,Yes,Both wanted children,We have different views but respect them,Neutral,Good,Dual income,Mostly aligned,Mixed - One of each,Yes,Somewhat,We are both indifferent or do not want pets,"Family, Faith and Spirituality, Security/Stability","Family, Faith and Spirituality, Security/Stability",
2/14/2026 22:00:43,Married or Widowed,35,35,Both our parents are Married,No,Yes,Workplace,1–2 years,No,No,Both wanted marriage,Yes - we both do,Same beliefs and practices,Yes,Both wanted children,We share the same views,Good,Good,Dual income,Mostly aligned,Mixed - One of each,Yes,Yes,We are both indifferent or do not want pets,"Travel, Health and Fitness","Travel, Health and Fitness",
2/14/2026 22:01:16,Married or Widowed,32,34,Both our parents are Married,Half - One of us married before,No,Workplace,1–2 years,No,No,Both wanted marriage,Yes - we both do,Different beliefs but accepting,Yes,Both wanted children,We share the same views,Good,Good,Dual income,Mostly aligned,Both Introverts,Yes,Yes,We are both indifferent or do not want pets,"Family, Security/Stability, Health and Fitness","Adventure/Trying New Things, Security/Stability, Health and Fitness",
2/14/2026 22:05:10,Married or Widowed,28,29,Both our parents are Married,No,Yes,School,2–4 years,No,No,Both wanted marriage,Yes - we both do,Same beliefs and practices,Yes,Both wanted children,We have different views but respect them,Very Good,Very Good,Dual income,Mostly aligned,Mixed - One of each,Yes,Yes,We both love and/or own pets,"Family, Faith and Spirituality, Travel","Family, Faith and Spirituality, Self-Improvement",
2/14/2026 22:06:30,Married or Widowed,28,27,Both our parents are Married,No,No,School,2–4 years,Yes,No,Both wanted marriage,No - we don't,Same beliefs and practices,Yes,Mixed - One spouse wanted children,We share the same views,Good,Good,Dual income,Mostly aligned,Mixed - One of each,Yes,Yes,We both love and/or own pets,"Family, Security/Stability, Travel","Career Ambition, Family, Health and Fitness",
2/14/2026 22:08:12,Married or Widowed,24,32,Both our parents are Married,No,No,Workplace,<6 months,No,No,Both wanted marriage,Yes - we both do,Different beliefs but accepting,Yes,Both wanted children,We share the same views,Very Good,Very Good,Dual income,"Half aligned, half in disagreement",Mixed - One of each,No,Yes,We both love and/or own pets,"Family, Travel, Health and Fitness","Family, Travel, Health and Fitness",
