Timestamp,What is your current marital status?,Wife: How old were you at marriage? (in years),Husband: How old were you at marriage? (in years),Our Family Backgrounds:,Have you been married before?,Was buying a home or moving out a significant factor for marriage?,How did you meet?,How long was your relationship before marriage?,Did you attend Premarital Counselling?,Did you live together before marriage?,What were your views on marriage prior to the wedding?,"Do you believe in ""Soulmates"" or ""The One""?",Our views on religion:,Do you have children together?,What were your views on children?,On political views:,Relationship with In-laws is best described as: (Select Neutral if Not Applicable) [You and your in-laws],Relationship with In-laws is best described as: (Select Neutral if Not Applicable) [Your spouse/ex and their in-laws],Our household is primarily:,On managing household finances:,What best describes your personalities?,Do you share a key common interest?,Do you approve of each other's social circle?,How do you feel about pets & pet ownership?,Which top 3 values do you prioritise most in your life? [Me],Which top 3 values do you prioritise most in your life? [My spouse/ex],"Thank you for reaching the end! 

If there are there any other factors you feel are important for a relationship that were not mentioned, feel free to add them here. Otherwise, press submit!"
3/6/2026 11:46:25,Married or Widowed,,30,Both our parents are Married,No,No,School,4+ years,No,No,Both wanted marriage,No - we don't,Same beliefs and practices,Yes,Both wanted children,We share the same views,Good,Neutral,Dual income,Mostly aligned,Mixed - One of each,No,Yes,We are both indifferent or do not want pets,"Family, Faith and Spirituality, Security/Stability, Self-Improvement","Family, Faith and Spirituality, Security/Stability",
3/6/2026 11:57:30,Married or Widowed,27,39,Both our parents are Married,No,Yes,Online (e.g. Dating App),4+ years,No,No,Ambivalent,No - we don't,Same beliefs and practices,No,Both didn't want children,We share the same views,Very Good,Bad,Dual income,Mostly aligned,Mixed - One of each,Yes,Yes,We both love and/or own pets,"Family, Self-Improvement, Health and Fitness","Family, Security/Stability, Self-Improvement",
3/6/2026 13:47:31,Married or Widowed,27,28,Both our parents are Married,No,No,Religious Place of Worship,1–2 years,Yes,No,Both wanted marriage,Yes - we both do,Same beliefs and practices,No,Both wanted children,We share the same views,Good,Good,Dual income,Mostly aligned,Mixed - One of each,Yes,Somewhat,We both love and/or own pets,"Career Ambition, Faith and Spirituality, Adventure/Trying New Things","Career Ambition, Faith and Spirituality, Adventure/Trying New Things",Education level
3/6/2026 13:51:20,Married or Widowed,26,28,Both our parents are Married,No,Yes,School,2–4 years,No,Yes,Both wanted marriage,Yes - we both do,Different beliefs but accepting,Yes,Mixed - One spouse wanted children,We share the same views,Bad,Good,Dual income,Mostly aligned,Mixed - One of each,No,Somewhat,We are both indifferent or do not want pets,"Career Ambition, Family, Travel","Career Ambition, Family, Health and Fitness",
3/6/2026 13:56:37,Married or Widowed,40,42,Both our parents are Married,No,No,Online (e.g. Dating App),2–4 years,No,No,Both wanted marriage,No - we don't,Same beliefs and practices,No,Too old,We share the same views,Very Good,Very Good,Dual income,Mostly aligned,Mixed - One of each,Yes,Yes,We are both indifferent or do not want pets,"Security/Stability, Self-Improvement, Health and Fitness","Family, Security/Stability, Travel","Whether is it needed to stay with parents. Who needs to take care of baby, children. "
3/7/2026 5:42:27,Married or Widowed,32,36,"One set of parents are Married, the other Divorced",No,No,Online (e.g. Dating App),1–2 years,Yes,Yes,Both wanted marriage,No - we don't,Different beliefs but accepting,Yes,Both wanted children,We have different views but respect them,Neutral,Good,Dual income,Mostly aligned,Mixed - One of each,Yes,Yes,We both love and/or own pets,"Family, Travel, Health and Fitness","Security/Stability, Travel, Health and Fitness",
3/9/2026 17:52:53,Divorced or Annulled,26,29,"One set of parents are Married, the other Divorced",No,No,Online (e.g. Dating App),2–4 years,No,Yes,"Half - One was ambivalent, one wanted marriage",Half - one of us does,Different beliefs altogether,Yes,Both wanted children,We both avoid discussing politics,Neutral,Neutral,Dual income,"Half aligned, half in disagreement",Mixed - One of each,No,Somewhat,We are both indifferent or do not want pets,"Career Ambition, Family, Travel","Career Ambition, Family, Security/Stability",
3/9/2026 19:12:28,Divorced or Annulled,31,32,"One set of parents are Married, the other Divorced",No,No,Workplace,6 months–1 year,No,No,Both wanted marriage,Half - one of us does,Different beliefs but accepting,Yes,Both wanted children,We both avoid discussing politics,Good,Very Bad,Single income,Rarely aligned,Mixed - One of each,No,No,"Mixed - One of us love pets, the other does not","Career Ambition, Family, Security/Stability","Adventure/Trying New Things, Travel, Community",
3/22/2026 10:01:47,Divorced or Annulled,23,25,"One set of parents are Married, the other Divorced",No,Yes,School,1–2 years,No,No,"Half - One was ambivalent, one wanted marriage",Yes - we both do,Same beliefs and practices,Yes,Both ambivalent or undecided,We have different views but respect them,Bad,Very Bad,Dual income,Rarely aligned,Mixed - One of each,No,Somewhat,"Mixed - One of us love pets, the other does not","Faith and Spirituality, Career Ambition, Family","Travel, Security/Stability, Self-Improvement",Communication and trust
3/16/2026 10:59:24,Divorced or Annulled,20,22,"One set of parents are Married, the other Divorced",Half - One of us married before,No,Workplace,<6 months,No,Yes,Ambivalent,No - we don't,Different beliefs altogether,Yes,Both ambivalent or undecided,We both avoid discussing politics,Good,Neutral,Single income,Rarely aligned,Mixed - One of each,Yes,Somewhat,We are both indifferent or do not want pets,"Family, Adventure/Trying New Things, Faith and Spirituality","Health and Fitness, Security/Stability, Career Ambition",
2/13/2026 14:52:02,Divorced or Annulled,29,31,Both our parents are Married,Half - One of us married before,No,Online (e.g. Dating App),6 months–1 year,No,Yes,"Half - One was ambivalent, one wanted marriage",Half - one of us does,Same beliefs and practices,No,Both ambivalent or undecided,We both avoid discussing politics,Neutral,Bad,Dual income,Rarely aligned,Both Introverts,No,No,"Mixed - One of us love pets, the other does not","Career Ambition, Family, Self-Improvement","Security/Stability, Family, Self-Improvement",Communication and trust
3/15/2026 15:35:55,Divorced or Annulled,32,35,Both our parents are Married,Half - One of us married before,Yes,Family introduction,6 months–1 year,No,No,Both wanted marriage,No - we don't,Different beliefs but accepting,No,Mixed - One spouse wanted children,We both avoid discussing politics,Good,Bad,Single income,"Half aligned, half in disagreement",Both Introverts,No,Somewhat,"Mixed - One of us love pets, the other does not","Health and Fitness, Travel, Adventure/Trying New Things","Adventure/Trying New Things, Career Ambition, Security/Stability",
2/25/2026 08:15:56,Divorced or Annulled,26,27,"One set of parents are Married, the other Divorced",No,Yes,Mutual friends,<6 months,No,Yes,Both wanted marriage,Half - one of us does,Different beliefs but accepting,No,Both didn't want children,We both avoid discussing politics,Bad,Bad,Dual income,"Half aligned, half in disagreement",Mixed - One of each,No,Somewhat,We are both indifferent or do not want pets,"Career Ambition, Family, Self-Improvement","Security/Stability, Career Ambition, Travel",
2/24/2026 09:57:02,Divorced or Annulled,30,31,Both our parents are Married,No,No,School,4+ years,No,No,"Half - One was ambivalent, one wanted marriage",No - we don't,Same beliefs and practices,Yes,Both wanted children,We have different views but respect them,Neutral,Bad,Single income,Rarely aligned,Both Introverts,No,Somewhat,"Mixed - One of us love pets, the other does not","Family, Career Ambition, Security/Stability","Adventure/Trying New Things, Family, Career Ambition",
3/10/2026 10:03:41,Divorced or Annulled,35,39,Both our parents are Divorced,Half - One of us married before,Yes,School,1–2 years,No,No,Both wanted marriage,Half - one of us does,Different beliefs altogether,Yes,Mixed - One spouse wanted children,We have different views but respect them,Neutral,Very Bad,Both unemployed,"Half aligned, half in disagreement",Mixed - One of each,No,Somewhat,"Mixed - One of us love pets, the other does not","Security/Stability, Adventure/Trying New Things, Travel","Career Ambition, Security/Stability, Self-Improvement",Commitment
2/20/2026 08:32:05,Divorced or Annulled,30,31,Both our parents are Married,Half - One of us married before,No,At an event,2–4 years,No,No,Both wanted marriage,No - we don't,Different beliefs but accepting,Yes,Both wanted children,We both avoid discussing politics,Neutral,Neutral,Dual income,"Half aligned, half in disagreement",Mixed - One of each,No,No,We both love and/or own pets,"Security/Stability, Adventure/Trying New Things, Career Ambition","Security/Stability, Adventure/Trying New Things, Career Ambition",
2/14/2026 14:23:18,Divorced or Annulled,22,26,"One set of parents are Married, the other Divorced",No,Yes,Online (e.g. Dating App),<6 months,No,No,"Half - One was ambivalent, one wanted marriage",No - we don't,Same beliefs and practices,Yes,Both wanted children,We both avoid discussing politics,Neutral,Bad,Single income,"Half aligned, half in disagreement",Mixed - One of each,No,Somewhat,"Mixed - One of us love pets, the other does not","Travel, Career Ambition, Adventure/Trying New Things","Family, Career Ambition, Travel",
2/20/2026 21:35:45,Divorced or Annulled,25,25,Both our parents are Married,Half - One of us married before,Yes,Mutual friends,4+ years,No,No,Both wanted marriage,Half - one of us does,Different beliefs altogether,No,Both didn't want children,Our different views cause conflict,Neutral,Neutral,Dual income,Rarely aligned,Mixed - One of each,No,Somewhat,We are both indifferent or do not want pets,"Health and Fitness, Travel, Community","Travel, Health and Fitness, Career Ambition",
3/8/2026 14:17:10,Divorced or Annulled,29,30,Both our parents are Divorced,Half - One of us married before,No,Religious Place of Worship,1–2 years,No,Yes,Both wanted marriage,Yes - we both do,Same beliefs and practices,Yes,Both didn't want children,Our different views cause conflict,Neutral,Bad,Dual income,Rarely aligned,Mixed - One of each,No,Somewhat,"Mixed - One of us love pets, the other does not","Career Ambition, Health and Fitness, Faith and Spirituality","Career Ambition, Security/Stability, Travel",
3/9/2026 23:07:24,Divorced or Annulled,31,32,Both our parents are Married,No,No,Family introduction,2–4 years,Yes,Yes,Both wanted marriage,Half - one of us does,Different beliefs altogether,No,Mixed - One spouse wanted children,We both avoid discussing politics,Good,Very Bad,Single income,"Half aligned, half in disagreement",Mixed - One of each,No,Somewhat,We are both indifferent or do not want pets,"Security/Stability, Family, Travel","Career Ambition, Security/Stability, Adventure/Trying New Things",
3/1/2026 16:13:27,Divorced or Annulled,29,32,Both our parents are Married,No,No,Mutual friends,4+ years,Yes,Yes,"Half - One was ambivalent, one wanted marriage",Half - one of us does,Different beliefs but accepting,Yes,Both wanted children,Our different views cause conflict,Neutral,Neutral,Single income,Mostly aligned,Both Introverts,No,Somewhat,"Mixed - One of us love pets, the other does not","Adventure/Trying New Things, Travel, Security/Stability","Self-Improvement, Faith and Spirituality, Adventure/Trying New Things",
2/10/2026 10:49:27,Divorced or Annulled,22,26,"One set of parents are Married, the other Divorced",No,No,Clubbing,<6 months,No,No,"Half - One was ambivalent, one wanted marriage",Half - one of us does,Same beliefs but different practices,No,Both wanted children,We both avoid discussing politics,Very Bad,Neutral,Both unemployed,"Half aligned, half in disagreement",Both Introverts,No,Somewhat,"Mixed - One of us love pets, the other does not","Travel, Family, Self-Improvement","Adventure/Trying New Things, Family, Security/Stability",
2/25/2026 15:21:20,Divorced or Annulled,30,31,Both our parents are Married,No,No,Workplace,1–2 years,No,No,Both wanted marriage,No - we don't,Same beliefs but different practices,No,Both didn't want children,We share the same views,Very Bad,Bad,Single income,Rarely aligned,Mixed - One of each,No,No,"Mixed - One of us love pets, the other does not","Adventure/Trying New Things, Self-Improvement, Travel","Health and Fitness, Adventure/Trying New Things, Family",Respect
2/11/2026 19:21:42,Divorced or Annulled,27,29,Both our parents are Married,No,No,Online (e.g. Dating App),<6 months,No,No,Both wanted marriage,No - we don't,Same beliefs and practices,Yes,Both wanted children,We have different views but respect them,Neutral,Neutral,Single income,"Half aligned, half in disagreement",Mixed - One of each,No,Somewhat,We both love and/or own pets,"Career Ambition, Security/Stability, Community","Faith and Spirituality, Self-Improvement, Travel",
2/11/2026 14:12:53,Divorced or Annulled,19,20,Both our parents are Married,No,No,Workplace,2–4 years,No,No,"Half - One was ambivalent, one wanted marriage",No - we don't,Same beliefs and practices,No,Too old,We have different views but respect them,Very Good,Neutral,Single income,Rarely aligned,Mixed - One of each,No,Yes,"Mixed - One of us love pets, the other does not","Security/Stability, Career Ambition, Travel","Travel, Security/Stability, Career Ambition",
3/4/2026 20:42:23,Divorced or Annulled,20,23,Both our parents are Married,No,No,Mutual friends,1–2 years,Yes,No,Both wanted marriage,Half - one of us does,Different beliefs but accepting,Yes,Mixed - One spouse wanted children,Our different views cause conflict,Bad,Neutral,Single income,"Half aligned, half in disagreement",Mixed - One of each,No,No,We are both indifferent or do not want pets,"Adventure/Trying New Things, Self-Improvement, Security/Stability","Security/Stability, Family, Adventure/Trying New Things",
2/21/2026 22:13:22,Divorced or Annulled,29,31,Both our parents are Divorced,No,No,School,4+ years,No,Yes,Both wanted marriage,No - we don't,Different beliefs but accepting,Yes,Both ambivalent or undecided,We both avoid discussing politics,Good,Neutral,Single income,"Half aligned, half in disagreement",Mixed - One of each,No,Somewhat,We are both indifferent or do not want pets,"Self-Improvement, Family, Security/Stability","Family, Faith and Spirituality, Career Ambition",
3/2/2026 10:47:34,Divorced or Annulled,32,35,Both our parents are Married,No,No,Online (e.g. Dating App),4+ years,No,Yes,"Half - One was ambivalent, one wanted marriage",Half - one of us does,Same beliefs but different practices,Yes,Mixed - One spouse wanted children,We have different views but respect them,Very Good,Good,Dual income,Rarely aligned,Mixed - One of each,No,Somewhat,We both love and/or own pets,"Family, Security/Stability, Faith and Spirituality","Community, Family, Travel",
2/14/2026 19:31:04,Divorced or Annulled,26,29,Both our parents are Married,No,Yes,School,6 months–1 year,No,No,"Half - One was ambivalent, one wanted marriage",No - we don't,Different beliefs but accepting,Yes,Both didn't want children,We have different views but respect them,Bad,Neutral,Single income,Mostly aligned,Mixed - One of each,Yes,No,We are both indifferent or do not want pets,"Family, Career Ambition, Adventure/Trying New Things","Security/Stability, Career Ambition, Adventure/Trying New Things",Respect
2/28/2026 08:14:18,Divorced or Annulled,28,31,"One set of parents are Married, the other Divorced",No,Yes,Family introduction,2–4 years,No,Yes,Both wanted marriage,Half - one of us does,Different beliefs but accepting,No,Mixed - One spouse wanted children,We share the same views,Good,Neutral,Single income,"Half aligned, half in disagreement",Mixed - One of each,Yes,No,"Mixed - One of us love pets, the other does not","Health and Fitness, Adventure/Trying New Things, Faith and Spirituality","Career Ambition, Family, Security/Stability",
3/20/2026 15:01:05,Divorced or Annulled,22,25,Both our parents are Divorced,No,No,Family introduction,4+ years,No,Yes,Both wanted marriage,Half - one of us does,Same beliefs but different practices,Yes,Too old,We have different views but respect them,Bad,Very Bad,Single income,"Half aligned, half in disagreement",Mixed - One of each,Yes,Somewhat,We are both indifferent or do not want pets,"Adventure/Trying New Things, Self-Improvement, Family","Self-Improvement, Career Ambition, Family",
3/2/2026 10:49:25,Divorced or Annulled,30,34,Both our parents are Married,Half - One of us married before,No,School,1–2 years,No,No,Both wanted marriage,Yes - we both do,Same beliefs and practices,Yes,Both wanted children,Our different views cause conflict,Neutral,Very Good,Single income,Rarely aligned,Mixed - One of each,No,Yes,We are both indifferent or do not want pets,"Family, Travel, Career Ambition","Community, Security/Stability, Career Ambition",
3/14/2026 15:26:53,Divorced or Annulled,25,27,"One set of parents are Married, the other Divorced",No,No,Online (e.g. Dating App),2–4 years,No,No,"Half - One was ambivalent, one wanted marriage",No - we don't,Same beliefs but different practices,No,Both wanted children,We share the same views,Bad,Very Bad,Single income,"Half aligned, half in disagreement",Mixed - One of each,No,Somewhat,We are both indifferent or do not want pets,"Self-Improvement, Faith and Spirituality, Health and Fitness","Travel, Community, Career Ambition",Communication
2/24/2026 20:02:20,Divorced or Annulled,28,31,"One set of parents are Married, the other Divorced",No,No,Religious Place of Worship,4+ years,No,No,"Half - One was ambivalent, one wanted marriage",Half - one of us does,Different beliefs altogether,No,Both wanted children,We both avoid discussing politics,Neutral,Bad,Single income,"Half aligned, half in disagreement",Both Introverts,No,No,We are both indifferent or do not want pets,"Security/Stability, Self-Improvement, Travel","Travel, Health and Fitness, Family",
3/22/2026 22:55:34,Divorced or Annulled,19,20,"One set of parents are Married, the other Divorced",Half - One of us married before,Yes,Family introduction,1–2 years,No,Yes,Ambivalent,Half - one of us does,Different beliefs but accepting,No,Both wanted children,We both avoid discussing politics,Neutral,Neutral,Dual income,"Half aligned, half in disagreement",Mixed - One of each,No,Somewhat,We both love and/or own pets,"Travel, Security/Stability, Family","Health and Fitness, Career Ambition, Security/Stability",
3/11/2026 15:42:00,Divorced or Annulled,31,33,Both our parents are Married,No,No,At an event,4+ years,No,Yes,"Half - One was ambivalent, one wanted marriage",Half - one of us does,Same beliefs but different practices,No,Both didn't want children,We have different views but respect them,Neutral,Neutral,Dual income,"Half aligned, half in disagreement",Both Introverts,No,Somewhat,We both love and/or own pets,"Travel, Self-Improvement, Community","Health and Fitness, Self-Improvement, Travel",
2/24/2026 18:14:40,Divorced or Annulled,22,24,"One set of parents are Married, the other Divorced",No,No,School,<6 months,No,No,"Half - One was ambivalent, one wanted marriage",Yes - we both do,Same beliefs but different practices,Yes,Both didn't want children,We have different views but respect them,Neutral,Neutral,Single income,Rarely aligned,Mixed - One of each,No,Somewhat,We are both indifferent or do not want pets,"Travel, Health and Fitness, Community","Family, Health and Fitness, Travel",Communication and trust
2/14/2026 11:48:14,Divorced or Annulled,30,33,Both our parents are Divorced,Half - One of us married before,Yes,Workplace,4+ years,No,No,Both wanted marriage,No - we don't,Different beliefs but accepting,Yes,Mixed - One spouse wanted children,Our different views cause conflict,Good,Neutral,Dual income,Rarely aligned,Mixed - One of each,No,Somewhat,We both love and/or own pets,"Travel, Self-Improvement, Family","Adventure/Trying New Things, Career Ambition, Community",
3/13/2026 10:06:15,Divorced or Annulled,30,31,"One set of parents are Married, the other Divorced",No,Yes,At an event,1–2 years,No,No,Both wanted marriage,Yes - we both do,Same beliefs but different practices,Yes,Too old,We share the same views,Neutral,Neutral,Both unemployed,Rarely aligned,Both Introverts,No,Somewhat,"Mixed - One of us love pets, the other does not","Faith and Spirituality, Adventure/Trying New Things, Career Ambition","Career Ambition, Health and Fitness, Security/Stability",
3/22/2026 07:03:50,Divorced or Annulled,24,29,"One set of parents are Married, the other Divorced",No,Yes,Mutual friends,2–4 years,No,No,"Half - One was ambivalent, one wanted marriage",No - we don't,Different beliefs but accepting,Yes,Too old,Our different views cause conflict,Neutral,Bad,Dual income,Rarely aligned,Both Introverts,No,No,We are both indifferent or do not want pets,"Career Ambition, Faith and Spirituality, Family","Adventure/Trying New Things, Career Ambition, Family",Communication and trust
3/5/2026 23:37:06,Divorced or Annulled,25,27,"One set of parents are Married, the other Divorced",No,Yes,Online (e.g. Dating App),6 months–1 year,No,No,Ambivalent,No - we don't,Same beliefs but different practices,Yes,Mixed - One spouse wanted children,We have different views but respect them,Very Bad,Neutral,Dual income,Mostly aligned,Mixed - One of each,No,No,We are both indifferent or do not want pets,"Security/Stability, Family, Adventure/Trying New Things","Adventure/Trying New Things, Travel, Career Ambition",
3/9/2026 21:56:14,Divorced or Annulled,25,29,Both our parents are Married,No,No,Workplace,6 months–1 year,Yes,Yes,Both wanted marriage,Yes - we both do,Same beliefs and practices,Yes,Mixed - One spouse wanted children,We have different views but respect them,Good,Good,Both unemployed,"Half aligned, half in disagreement",Mixed - One of each,No,No,"Mixed - One of us love pets, the other does not","Adventure/Trying New Things, Health and Fitness, Career Ambition","Family, Adventure/Trying New Things, Career Ambition",Commitment
2/23/2026 11:42:30,Divorced or Annulled,22,23,"One set of parents are Married, the other Divorced",No,Yes,Mutual friends,4+ years,No,Yes,"Half - One was ambivalent, one wanted marriage",No - we don't,Different beliefs but accepting,Yes,Both didn't want children,We both avoid discussing politics,Neutral,Neutral,Single income,"Half aligned, half in disagreement",Mixed - One of each,Yes,No,We are both indifferent or do not want pets,"Faith and Spirituality, Career Ambition, Self-Improvement","Career Ambition, Travel, Faith and Spirituality",Trust
3/11/2026 17:10:23,Divorced or Annulled,23,25,Both our parents are Divorced,No,Yes,School,4+ years,No,No,Both wanted marriage,Half - one of us does,Different beliefs but accepting,Yes,Both wanted children,We both avoid discussing politics,Neutral,Good,Single income,"Half aligned, half in disagreement",Mixed - One of each,No,Somewhat,"Mixed - One of us love pets, the other does not","Career Ambition, Faith and Spirituality, Health and Fitness","Self-Improvement, Travel, Family",
2/10/2026 22:47:27,Divorced or Annulled,22,24,"One set of parents are Married, the other Divorced",No,Yes,Family introduction,<6 months,Yes,No,Both wanted marriage,No - we don't,Different beliefs altogether,Yes,Both ambivalent or undecided,We both avoid discussing politics,Neutral,Good,Dual income,"Half aligned, half in disagreement",Mixed - One of each,No,No,"Mixed - One of us love pets, the other does not","Career Ambition, Travel, Faith and Spirituality","Security/Stability, Adventure/Trying New Things, Family",
3/3/2026 14:21:49,Divorced or Annulled,22,25,Both our parents are Married,No,Yes,Workplace,2–4 years,No,Yes,Both wanted marriage,Half - one of us does,Same beliefs and practices,Yes,Mixed - One spouse wanted children,We both avoid discussing politics,Good,Bad,Single income,Rarely aligned,Mixed - One of each,No,No,We are both indifferent or do not want pets,"Security/Stability, Adventure/Trying New Things, Travel","Security/Stability, Career Ambition, Family",Communication and trust
3/22/2026 16:50:17,Divorced or Annulled,26,28,Both our parents are Married,No,No,Workplace,6 months–1 year,No,Yes,Both wanted marriage,Half - one of us does,Same beliefs but different practices,Yes,Too old,We both avoid discussing politics,Very Good,Very Bad,Single income,"Half aligned, half in disagreement",Mixed - One of each,No,No,We are both indifferent or do not want pets,"Self-Improvement, Travel, Community","Career Ambition, Self-Improvement, Family",Communication and trust
3/10/2026 23:33:39,Divorced or Annulled,22,24,Both our parents are Married,No,No,Online (e.g. Dating App),4+ years,No,No,Both wanted marriage,No - we don't,Same beliefs and practices,No,Mixed - One spouse wanted children,Our different views cause conflict,Very Bad,Neutral,Single income,Mostly aligned,Mixed - One of each,No,No,We are both indifferent or do not want pets,"Security/Stability, Health and Fitness, Family","Faith and Spirituality, Travel, Self-Improvement",Commitment
2/15/2026 20:32:23,Divorced or Annulled,19,21,Both our parents are Divorced,No,Yes,Workplace,4+ years,No,No,"Half - One was ambivalent, one wanted marriage",Half - one of us does,Different beliefs but accepting,No,Both ambivalent or undecided,We both avoid discussing politics,Very Bad,Bad,Single income,"Half aligned, half in disagreement",Both Introverts,No,Somewhat,"Mixed - One of us love pets, the other does not","Self-Improvement, Career Ambition, Adventure/Trying New Things","Self-Improvement, Community, Security/Stability",Communication and trust
2/24/2026 14:19:51,Divorced or Annulled,29,34,Both our parents are Married,No,No,Mutual friends,4+ years,No,No,Both wanted marriage,Half - one of us does,Same beliefs and practices,Yes,Both didn't want children,We share the same views,Neutral,Neutral,Both unemployed,Rarely aligned,Mixed - One of each,Yes,Yes,We are both indifferent or do not want pets,"Adventure/Trying New Things, Security/Stability, Travel","Career Ambition, Health and Fitness, Travel",
2/11/2026 20:03:25,Divorced or Annulled,25,27,Both our parents are Divorced,No,No,At an event,4+ years,No,Yes,Both wanted marriage,Half - one of us does,Different beliefs altogether,Yes,Both wanted children,We both avoid discussing politics,Neutral,Very Good,Dual income,"Half aligned, half in disagreement",Mixed - One of each,No,No,We are both indifferent or do not want pets,"Career Ambition, Adventure/Trying New Things, Faith and Spirituality","Career Ambition, Security/Stability, Health and Fitness",Communication and trust
2/14/2026 10:53:57,Divorced or Annulled,25,28,"One set of parents are Married, the other Divorced",No,Yes,Workplace,<6 months,No,No,Both wanted marriage,No - we don't,Different beliefs but accepting,Yes,Too old,We both avoid discussing politics,Bad,Bad,Dual income,Rarely aligned,Both Introverts,No,Somewhat,"Mixed - One of us love pets, the other does not","Faith and Spirituality, Career Ambition, Adventure/Trying New Things","Security/Stability, Career Ambition, Self-Improvement",
2/18/2026 08:22:34,Divorced or Annulled,24,27,"One set of parents are Married, the other Divorced",No,Yes,Mutual friends,6 months–1 year,No,Yes,Ambivalent,Yes - we both do,Same beliefs and practices,No,Both didn't want children,We have different views but respect them,Neutral,Neutral,Single income,"Half aligned, half in disagreement",Both Introverts,No,Somewhat,"Mixed - One of us love pets, the other does not","Career Ambition, Self-Improvement, Faith and Spirituality","Travel, Adventure/Trying New Things, Family",Communication and trust
3/6/2026 17:11:31,Divorced or Annulled,27,29,"One set of parents are Married, the other Divorced",No,No,Workplace,1–2 years,Yes,No,Both wanted marriage,Half - one of us does,Same beliefs but different practices,Yes,Both wanted children,We both avoid discussing politics,Good,Neutral,Single income,Rarely aligned,Mixed - One of each,No,Somewhat,We are both indifferent or do not want pets,"Self-Improvement, Career Ambition, Security/Stability","Adventure/Trying New Things, Security/Stability, Travel",
2/11/2026 11:54:38,Divorced or Annulled,27,29,Both our parents are Married,No,No,Workplace,4+ years,No,No,Both wanted marriage,Half - one of us does,Same beliefs but different practices,Yes,Both wanted children,We have different views but respect them,Neutral,Neutral,Both unemployed,Mostly aligned,Both Introverts,No,No,We both love and/or own pets,"Self-Improvement, Security/Stability, Career Ambition","Security/Stability, Self-Improvement, Community",
2/17/2026 11:54:04,Divorced or Annulled,25,30,Both our parents are Married,No,No,Religious Place of Worship,6 months–1 year,No,No,"Half - One was ambivalent, one wanted marriage",No - we don't,Different beliefs altogether,No,Both didn't want children,We both avoid discussing politics,Bad,Bad,Dual income,"Half aligned, half in disagreement",Both Introverts,No,Yes,We are both indifferent or do not want pets,"Faith and Spirituality, Self-Improvement, Adventure/Trying New Things","Security/Stability, Career Ambition, Adventure/Trying New Things",Respect
3/15/2026 20:49:26,Divorced or Annulled,29,30,Both our parents are Divorced,No,No,Online (e.g. Dating App),6 months–1 year,Yes,Yes,"Half - One was ambivalent, one wanted marriage",Half - one of us does,Different beliefs altogether,Yes,Both didn't want children,We share the same views,Good,Neutral,Dual income,"Half aligned, half in disagreement",Mixed - One of each,No,No,"Mixed - One of us love pets, the other does not","Travel, Family, Security/Stability","Security/Stability, Career Ambition, Faith and Spirituality",
3/14/2026 12:37:37,Divorced or Annulled,22,25,"One set of parents are Married, the other Divorced",No,Yes,Mutual friends,4+ years,No,No,"Half - One was ambivalent, one wanted marriage",Half - one of us does,Different beliefs but accepting,No,Both wanted children,We both avoid discussing politics,Neutral,Bad,Dual income,Rarely aligned,Mixed - One of each,No,No,We are both indifferent or do not want pets,"Career Ambition, Family, Security/Stability","Adventure/Trying New Things, Career Ambition, Self-Improvement",
3/2/2026 18:25:08,Divorced or Annulled,28,31,Both our parents are Married,No,No,Mutual friends,<6 months,No,Yes,Ambivalent,Half - one of us does,Different beliefs altogether,No,Mixed - One spouse wanted children,Our different views cause conflict,Bad,Neutral,Dual income,Rarely aligned,Mixed - One of each,No,Somewhat,We both love and/or own pets,"Faith and Spirituality, Adventure/Trying New Things, Family","Security/Stability, Career Ambition, Faith and Spirituality",Respect
2/28/2026 07:54:06,Divorced or Annulled,25,29,"One set of parents are Married, the other Divorced",No,No,Workplace,2–4 years,No,No,Both wanted marriage,Half - one of us does,Different beliefs but accepting,Yes,Too old,We both avoid discussing politics,Good,Very Bad,Dual income,Rarely aligned,Mixed - One of each,No,No,We are both indifferent or do not want pets,"Adventure/Trying New Things, Security/Stability, Career Ambition","Career Ambition, Adventure/Trying New Things, Security/Stability",Communication and trust
